Solver,Avg Time (s),Max Time (s),Avg Memory (MB),Max Memory (MB),Success Rate,Valid Tests
Vampire,0.014944444444444446,0.046,2.5935872395833335,6.890625,100.0,6
Snake,0.002111111111111111,0.005,6.30859375,9.119140625,100.0,6
Z3,0.0033333333333333335,0.01,17.290000000000003,17.93,100.0,6
Prover9,16.506111111111114,87.27333333333334,2.0833333333333335,6.47,100.0,6
Cvc5,0.006000000000000001,0.017333333333333333,0.06735801696777344,0.21036148071289062,100.0,6
E,0.045000000000000005,0.17366666666666666,7.6805555555555545,16.755208333333332,100.0,6
Inkresat,0.0033333333333333335,0.01,N/A,N/A,100.0,6
