Solver,Avg Time (s),Max Time (s),Avg Memory (MB),Max Memory (MB),Success Rate (%),Valid Tests,Best Ratio
Vampire,0.0026091954022988504,0.009,1.8788052262931034,8.0615234375,100.0,29,3.0
Snake,0.003137931034482759,0.013333333333333332,9.459826239224139,31.107421875,100.0,29,2.0
Z3,0.01804597701149425,0.10666666666666667,18.929655172413796,36.95,100.0,29,N/A
Prover9,8.133636363636363,75.49666666666667,0.6240909090909091,2.12,0.0,22,N/A
Cvc5,0.1351264367816092,1.343,0.1384057669804014,0.8642768859863281,100.0,29,2.0
E,0.0876896551724138,1.0636666666666668,12.204382183908047,43.796875,100.0,29,2.0
Inkresat,0.0031034482758620693,0.02,N/A,N/A,100.0,29,N/A
