Solver,Avg Time (s),Max Time (s),Avg Memory (MB),Max Memory (MB),Success Rate,Valid Tests
Vampire,0.018266666666666667,0.052333333333333336,3.198828125,8.3544921875,100.0,5
Snake,0.0021999999999999997,0.004,6.4958984375,9.369140625,100.0,5
Z3,0.004,0.01,17.371999999999996,18.13,100.0,5
Prover9,4.6241666666666665,18.343333333333334,1.705,5.01,0.0,4
Cvc5,0.007800000000000001,0.021,0.09580230712890625,0.2859687805175781,100.0,5
E,0.07446666666666665,0.26566666666666666,9.407291666666666,21.130208333333332,100.0,5
Inkresat,0.004,0.01,N/A,N/A,100.0,5
